Organization,City,State,Company Website Address,College All or Specific Majors,College Majors Ag/Life Sciences,College Majors Bus/Comm,College Majors Ed/Human Dev,College Majors Lang/Letters,College Majors Perf/Visual Arts,College Majors Ph Sciences/Engineering,College Majors Found/Interd Studies,Company Paragraph,Organization Type,Cost of Tuition?,Average Time to Graduation?,Industry Job Outlook?,Placement Rate?,Booths-Employer,Booths-Graduate School,Booths-On Campus Group
Ensign Services,MISSION VIEJO,CA,www.ensigngroup.net,Specific Majors,"Associate of Science in Nursing    ,Bachelor of Science in Nursing (ASN to BSN)    ,Healthcare Administration     ,Physical Therapy Assistant","Accounting,Applied Management   ,Business Management - Entrepreneurial Management,Business Management - Finance,Business Management - Marketing,Business Management - Supply Chain Management",,,,,,"Ensign Services, Inc. provides support services to operations in the healthcare industry. Our clients are independent operators of healthcare businesses across the United States offering a broad spectrum of post-acute care including: assisted living, skilled nursing, rehabilitative care, home health, home care and hospice.
We support our clients by providing services which include: recruiting, hiring, training, accounting, IT support, legal, and HR/Payroll. This allows for more than 20 thousand on-site caregivers and leaders to focus solely on day-to-day care and operations. 

Ensign Services, Inc. is an affiliate of The Ensign Group. We share the core values of customer second, celebration, accountability, passion for learning, love one another, intelligent risk taking, and ownership.",Employer,,,,,H-7,,
Enterprise Rent-A-Car,Midvale,UT,www.go.enterprise.com,All Majors,,,,,,,,"Enterprise Holdings is the world?s largest automotive transportation service provider, with more than 100,000 team members in 90+ countries across the globe dedicated to taking care of our customers. As a Management Trainee, your learning will be hands-on. You?ll take care of customers, connect with your community and live our values. And learn what goes into managing a multimillion-dollar business. Our Management Trainees are the future of Enterprise. You?ll be given real responsibility, and we?ll empower you to experience, explore and thrive. Our promote-from-within culture means you can have many unique careers all within one company. With support and training every step of the way. You just need to take the leap. Are you ready to GO?",Employer,,,,,G-1,,
FBI,Germantown,WI,fbijobs.gov,All Majors,,,,,,,,"The FBI is responsible for investigating violations of federal law to include International Terrorism, Counter Terrorism, Foreign Counterintelligence, Violent Crime, White Collar Crime, and Cyber Crime.",Employer,,,,,F-6,,
Frazier Industrial Company,Idaho Falls,ID,www.frazier.com,Specific Majors,,,,,,"AAS--Welding Engineering Technology,Construction Management     ,Manufacturing and Supply Chain,Welding and Fabrication Technology Management     ,Welding Engineering Technology",,"The Leading Manufacturer of Structural Steel Storage Systems
FRAZIER?s blue and orange pallet rack is quickly recognized for its durability and custom engineered design. From standard pallet rack systems, to complex pick-to belt towers, AS/RS installations or Rack Supported Buildings, FRAZIER?s expert team of engineers help each customer design the best, most cost-effective Storage Solutions.

We made a fundamental decision when developing our manufacturing capabilities, to use structural steel instead of inferior roll-formed products. Since then, FRAZIER has become the leading producer of structural steel pallet rack systems with the most production capacity in the industry.

Structural steel is far more abuse-resistant? And we guarantee our storage rack systems to last! This is why our customers are so loyal. They rely on us to produce quality storage rack systems that hold up in the busiest warehouse environments. It?s true, structural used to be more expensive than roll-formed, but FRAZIER has consistently driven these costs down without sacrificing the quality and strength of our pallet rack. In fact, long-term costs of FRAZIER storage rack systems are actually LESS since structural components are more abuse-resistant and do not need continual replacement as do roll-formed uprights.

With our network of 10 fabrication facilities, strategically located throughout North America, FRAZIER guarantees manufacturing flexibility while meeting tight construction deadlines.",Employer,,,,,F-3,,
Fybercom,Idaho Falls,ID,www.fybercom.net,Specific Majors,,"AAS-Administrative Assistant/Office Manager,Accounting",,,,"AAS--Computer Information Systems,AAS--Computer Programming,AAS--Data Science,AAS--Electrical and Computer Engineering,AAS--Engineering Technology,Computer Engineering     ,Computer Information Technology",,"Fybercom LLC is East Idaho's premier high speed internet service provider. Providing gigabit service-to customers using fiber optic and microwave technologies. Fybercom is the fastest growing ISP in the area and the only ISP in East Idaho that can deliver speeds over 1Gig to its residential and business class customers. Fybercom Prides itself on excellent customer service, leading the way in technology, staying current in development, and being fun and innovative environment to work.",Employer,,,,,O-9,,
"Genie, a Terex Brand",Redmond,WA,https://www.genielift.com/,All Majors,,,,,,,,"Terex is a lifting and material handling solutions company reporting in five business segments: Aerial Work Platforms, Construction, Cranes, Material Handling and Port Solutions, and Materials Processing. Terex manufactures a broad range of equipment, serving customers in various industries, including construction, infrastructure, manufacturing, shipping, transporting, refining, energy, utility, quarrying and mining industries.",Employer,,,,,A-7,,
Gonzaga University Graduate School of Business,Spokane,WA,https://www.gonzaga.edu/Academics/Colleges-and-Schools/School-of-Business-Administration/Graduate-Programs/default.asp,Specific Majors,,"AAS-Administrative Assistant/Office Manager,Accounting,Agribusiness  - Agribusiness Management,Agribusiness  - Global Food and Agribusiness Management,Agricultural Economics    ,Applied Management   ,Business Analytics       ,Business Management - Entrepreneurial Management,Business Management - Finance,Business Management - Marketing,Business Management - Supply Chain Management,Communication - Advertising,Communication - News/Journalism,Communication - Organizational Communication and Advocacy,Communication - Public Relations,Communication - Video Production,Communication - Visual Communication,Economics ,Financial Economics",,,,,,"Gonzaga University?s Master of Business Administration, MBA in American Indian Entrepreneurship, Master of Accountancy and Master of Science in Taxation programs are uniquely characterized by a personal learning environment, quality students from diverse backgrounds, and a faculty committed to excellence in teaching.  The graduate business programs are customized to meet students? educational and career goals. 

The Gonzaga MBA program is the only Inland NW MBA ranked in the Top 100, yet the price is competitive with other local programs. The focus is quality and flexibility to fit for students with life, work, and school to balance.

Gonzaga?s MAcc and MSTax programs are ranked #13 in the nation by U.S. News & World Report and has the highest first-time CPA pass rate in Washington State among four-year universities. Gonzaga is ranked #33 in the USA for first-time CPA pass rate among large universities and #1 in the Northwest.",Graduate School,"$30,225-$32,835",12-24 months,Excellent,100%,,N-4,
Grand Teton Council - Boy Scouts of America,Pocatello,Id,grandtetoncouncil.org,All Majors,,,,,,,,Grand Teton Council - Boy Scouts of America is seeking interns and staff for its six local camping operations.,Employer,,,,,J-1,,
H.A.S. Inc.,Ammon,ID,www.hasincorporated.com,All Majors,,,,,,,,"H.A.S., Inc. has been providing 24 hour services for individuals with developmental disabilities within the southeastern Idaho area for over a decade. We ensure our services will assist the participant in developing necessary life skills to eventually function and live on their own. We provide specified training in relation to the client's specific needs in order to achieve their goal of becoming independent.",Employer,,,,,H-12,,
HAP Alaska Yukon,Seattle,WA,www.alaskatourjobs.com,All Majors,,,,,,,,"We?re a collaboration of Princess Cruises and Holland America Line, innovators in Alaska tourism and advocates for the environment. We offer guests a variety of experiences-whether sailing past glaciers, cozying up in a wilderness lodge, or spotting a bear from a dome?window rail car, we provide adventure, comfort, and lifetime memories.
We offer paid training, internships & externships. All jobs are 40 hours a week with overtime available.",Employer,,,,,A-14,,
HCA/Eastern Idaho Regional Medical Center,Herriman,UT,http://mountainstar.com/careers/,Specific Majors,"Associate of Science in Nursing    ,Bachelor of Science in Nursing (ASN to BSN)",,,,,,,"The largest medical facility in the region, Eastern Idaho Regional Medical Center (EIRMC) is a modern, Joint Commission-accredited, 330-bed full-service hospital located in Idaho Falls.  Idaho Falls offers a rich variety of outdoor activities with Grand Teton National Park, Yellowstone National Park, Jackson, WY and Sun Valley all within a short drive from our hospital.",Employer,,,,,H-4,,
"Health, Rec, and Human Performance",Rexburg,ID,NONE,Specific Majors,Exercise Physiology,,,,,,,"Exercise Physiology Student Mentors. We advise students on what classes, how to find internships, and help them be better prepared for their desired careers.",BYU-Idaho On-Campus Group,,,,,,,
HELP International,Provo,UT,help-international.org,All Majors,,,,,,,,"The mission of HELP International is to empower people to fight global poverty through sustainable, life-changing development programs. Our unique model allows college-aged volunteers, interns, and young professionals to contribute and catalyze the efforts of local partners on the ground. HELP International aims to assist relatively inexperienced and mostly academically trained participants to become social entrepreneurs who understand the complexities of poverty and play an active role in efforts to improve the quality of life of some of the most vulnerable populations in the world.",Employer,,,,,G-2,,
Hill AFB - Civilian Engineering,Hill AFB,UT,www.hill.af.mil,Specific Majors,,,,,,"Computer Engineering     ,Computer Science     ,Electrical Engineering       ,Mechanical Engineering",,"Hill Air Force Base employs approximately 2,000 Civilian Scientists and Engineers to support the Air Force?s mission to fly, fight and win?in air, space and cyberspace. Employees acquire, sustain, modernize, and test some of the nation?s most powerful and technologically advanced weapon systems, including fighter jets, bombers, radar, ICBM?s, and satellite systems.",Employer,,,,,"D-10,D-11",,
Idaho Central Credit Union,Chubbuck,ID,www.iccu.com/careers/,All Majors,,,,,,,,Idaho Central Credit Union is a dynamic financial institution that is focused on helping our members achieve financial success.  Established in 1940 we have become the largest and fastest growing financial institution in the state of Idaho. ICCU was voted for large companies the Best Place to work in Idaho.  We have also been named by S&P Global Market Intelligence as the top performing credit union in the nation.  We are a talent based organization looking for talented individuals to help our members achieve financial success.,Employer,,,,,B-2,,
Idaho College of Osteopathic Medicine,Meridian,ID,http://www.idahocom.org/,All Majors,,,,,,,,"The mission of the Idaho College of Osteopathic Medicine is to train osteopathic physicians prepared for caring for persons in Idaho, Montana, North Dakota, South Dakota, Wyoming and beyond.",Graduate School,"$49,750 ",4 Years,Job Growth and Increase,99.34%,,L-3,
Idaho State University,Pocatello,ID,NONE,All Majors,,,,,,,,"The engineering departments at ISU offer a Master of Science (MS) program in Measurement and Control Engineering (MCE). This program is designed to provide advanced study in measurements, modeling, simulation, adaptive, intelligent, nonlinear, optimal, robust control, and robotics. The MCE program admits students with a background in Instrumentation and Control Engineering, Mechanical-, Electrical-, Civil-, Nuclear-, and Aerospace-Engineering, as well as students with degrees in Computer Science and Physics. The program prepares the students for advanced placement in the measurement and control engineering field in industry, research, or development areas. Additionally, this program provides a suitable base for entrance into a Ph.D. program in a field related to Mechanical or Electrical Engineering. The program is offered both at the Pocatello and the Idaho Falls campuses, primarily through the use of telecommunications/distance learning, which includes partial in-class instruction. There are 30 credit hours required for an MS in MCE. The required thesis project should consist of study and research that complements the course work selected. Each student must also complete two semesters of seminar, an important component in developing research and communication skills

computationally, and experimentally) in measurements, modeling, simulation, robotics,and adaptive, intelligent, nonlinear, optimal, and robust control. This program prepares the student for advanced placement in the measurement and control engineering field in industry, research, or development areas. Additionally, this program provides a suitable base for entrance into a doctoral program in a field related to electrical or mechanical engineering. The program is offered both at the Pocatello and the Idaho Falls campuses, primarily through the use of telecommunications/distance learning, which includes partial in-class instruction.

Goals
Enhance the knowledge of graduates in advanced concepts of measurement, control, signal processing, engineering mathematics, computation and other related areas.
Increase the ability of graduates to synthesize and apply these advanced concepts to develop realistic measurement and control engineering designs and to solve identified problems, designing strategies for implementing them safely, ethically, and effectively.
Enhance the ability of graduates to effectively communicate these concepts both in oral and written formats.",Graduate School,"$8,928 ",2 years,Excellent,85%,,M-9,
Idaho State University - Nuclear Engineering,Pocatello,ID,www.engr.isu.edu,Specific Majors,,,,,,,,Idaho State University-Nuclear Engineering,Graduate School,"$5,000 ",2 years,Outstanding,90%+,,N-15,
Idaho State University - Physical & Occupational Therapy,Pocatello,ID,https://www.isu.edu/clinics/physical--occupational-therapy-associates/,All Majors,,,,,,,,"The Doctor of Physical Therapy (DPT) is a professional entry level degree program preparing students for licensure to practice as physical therapists. The program emphasizes student interaction with patients and clients during classroom, practicum and affiliation experiences, interprofessional education activities, and an emphasis on service and advocacy. The ISU DPT program offers an affordable 34-month program with an excellent student to faculty ratio within a safe and friendly community.

The Master of Occupational Therapy program at ISU is a fully accredited course of study preparing students to sit for the national certification examination and to enter the field as competent occupational therapists, helping their clients do what they want and need to do. Students progress through a curriculum that is grounded in the basic sciences but that emphasizes the importance of knowledge in both traditional and emerging practice areas. They gain an appreciation for such concepts as diversity and rural health and learn to deliver occupation-based treatments as part of an interdisciplinary team according to principles of evidence-based and reflective practice. Students complete all classroom and clinical requirements over the course of eight consecutive academic semesters beginning in the fall and finishing May of their third year. They emerge as skilled generalists, fully prepared to assume entry-level positions in all areas of contemporary occupational therapy practice.",Graduate School,"In State: $39,500 Out of State: $96,800",3 Years,Physical and Occupational Therapy,100%,,L-10,
Idaho State University College of Health Professions,Pocatello,ID,www.isu.edu/chp,All Majors,,,,,,,,"The College of Health Professions (CHP) in the Kasiska Division of Health Sciences at Idaho State University would like to send representatives from 4  programs within the CHP. Dental Hygiene, Dietetics, Emergency Management and Medical Lab Science programs will be featured. We need two tables in total for the 4 programs. These are a blend of graduate and professional programs.",Graduate School,Varies,Varies,Varies,Varies,,"M-7,M-8",
Idaho State University College of Pharmacy,Pocatello,ID,https://isu.edu/pharmacy/,Specific Majors,"Associate of Science in Nursing    ,Biology  ,Biology Education,Exercise Physiology      ,Food Science ,Health Science     ,Healthcare Administration     ,Paramedicine ,Physical Therapy Assistant    ,Public Health,Recreation Management  - Therapeutic Recreation","Accounting,Applied Management   ,Business Management - Entrepreneurial Management,Business Management - Finance,Business Management - Marketing,Business Management - Supply Chain Management",,,,"Biochemistry    ,Biostatistics,Chemistry ,Chemistry Education",,"Idaho State University College of Pharmacy offers the PharmD degree as well as joint degrees:  PharmD/MBA, PharmD/MS and PharmD/PhD.  We take pride in being one of the nation's premier pharmacy institutions and the success of our students.  

We have a progressive curriculum that enables you to become a highly competent pharmacy practitioner that can focus on medication management and optimize patient outcomes.  We emphasize the need to become an agent of change as the profession and our health-care system evolves. Come visit our both!",Graduate School,"$18,000 per two semester year",4 years,Very good,100%,,M-11,
Idaho State University Department of Physician Assistant Stuides,Meridian,ID,isu.edu/pa,All Majors,,,,,,,,"Idaho State University Department of Physician Assistant Studies is the preferred educational destination for individuals who desire to be trained in a student-centered, service oriented environment. The program trains PAs using a modular and systems based curriculum that is delivered through telepresence technology across three campuses.",Graduate School,"Cost of Attendance: ~$75,558 (Idaho Resident), ~$122,238 (Non-Resident)",24 months,37% growth between 2016-2026 (bls.gov),94%,,M-5,
"Idaho State University, College of Business Graduate Programs",Pocatello,ID,http://www.isu.edu/cob/,All Majors,,,,,,,,"The College of Business at Idaho State University stands as one of the few colleges internationally accredited by the Association to Advance Collegiate Schools of Business (AACSB) in both its business and accounting programs. In addition to these highly regarded standards, the College is also recognized for its successful graduate accounting programs. The unique structure of these programs has resulted in students passing the CPA exam at a rate of about 88%, much higher rate than the national average. The College offers five graduate degrees in accounting, taxation, business administration, health informatics, and healthcare administration. Throughout these programs, students take advantage of a variety of opportunities in experiential learning and international competitions, all while working closely with faculty and peers in intimate classroom, distance learning, and online settings. Some courses and programs are also available in Idaho Falls and Meridian.  With very competitive tuition rates and opportunities for graduate assistantship stipends, the ISU College of Business provides students with the value of a distinguished education at an affordable price.",Graduate School,"$9,196 for full-time/academic year",1.5 years,Excellent,90% employment within 3 months of graduation,,K-5,
"Innovative Health Care Concepts, Inc.",Idaho Falls,ID,ihccinc.com,Specific Majors,,,"Child Development     ,Early Childhood/Special Education     ,Elementary Education,Health Psychology,Marriage and Family Studies    ,Psychology - General Psychology,Social Work     ,Sociology ,Special Education K-12",,,,,"Since 1994, Innovative Health Care Concepts, Inc. (IHCC) has been proudly providing quality mental health and developmental disability services in Eastern Idaho. IHCC?s staff consists of qualified individuals who are trained to provide diagnostics, intervention, education, and support services to assist individuals with developmental and mental health disabilities.
IHCC employs many licensed social workers, individuals with human service degrees, therapy technicians, nurses, behavioral specialists, clinical practitioners. and psychologists. Our staff is committed to providing quality service to the community and all of south eastern Idaho, including Regions V, VI and VII. We believe that a reputation as an honest and reliable service provider is the recipe for success.",Employer,,,,,J-6,,
International Language Programs,Orem,UT,www.ilp.org,All Majors,,,,,,,,We open doors for children in 12 different countries by teaching them English. Volunteers 18-25 years of age are invited to make that difference during an affordable semester abroad.,Employer,,,,,A-5,,
Jacob Lake Inn,Salt Lake City,UT,jacoblake.com,All Majors,,,,,,,,"Jacob Lake Inn is a lodge 44 miles from the North Rim of the Grand Canyon. We have been in business since 1923 and have been owned by the same family for that entire time. We have a restaurant, gift shop, hotel, gas station, and store. We have a great working atmosphere and employ BYU standards, which means that this is a safe environment in which to have an experience working away from home. You are well paid, and we provide housing and food free of charge to our employees.",Employer,,,,,D-2,,
Jasper Engines and Transmissions,Jasper,IN,www.jasperengines.com,Specific Majors,,"Applied Management   ,Business Management - Supply Chain Management",,,,"Advanced Vehicle Systems,Automotive Engineering Technology,Automotive Technology    ,Automotive Technology Management,Manufacturing and Supply Chain,Mechanical Engineering",,"JASPER has been remanufacturing quality products since 1942 and today we are the nation's largest remanufacturer of gas and diesel engines, transmissions, differentials, rear axle assemblies, marine engines, stern drives, performance engines, and electric motors.

JASPER's over 2000 Associates and 44 branch and distributor locations are committed to providing you with the perfect product. Our processes and procedures are designed to produce a quality component that will meet or exceed the expectations of every one of our customers.",Employer,,,,,E-4,,
"JCPenney, Inc.",Salt Lake City,UT,www.jobs.jcp.com,Specific Majors,,"Accounting,Business Management - Finance",,,,"Civil Engineering,Electrical Engineering",,"People. Passion. Purpose.

We share a passion for serving customers, supporting our communities and making JCPenney the best retailer for all families. As a Company founded on the Golden Rule, our success is rooted in the belief that we treat everyone the way we would want to be treated. Working at JCPenney means joining a dedicated team of associates who are encouraged to be uniquely themselves in a collaborative and inclusive environment. After all, JCPenney is more than a destination for style and value, it?s a place where careers prosper, accomplishments are celebrated and diversity flourishes. It?s a place that?s meant for you.

?Do unto others as you would have them do unto you.? That?s what our founder, James Cash Penney, used as a guide for conducting his business. He made it a priority to treat customers the way he would want to be treated, and it?s a concept that still guides us today.

The value Mr. Penney placed in the people who worked for him was evident in many ways. For example, he initiated the practice of calling employees ?associates,? because it conveyed his belief that people at all levels worked with him, not for him, in building the business.",Employer,,,,,A-3,,
"JD Ellen Manufacturing, Inc.",Phoenix,AZ,www.jdellenmfg.com,Specific Majors,,,,,,"AAS--Engineering Technology,Computer Engineering     ,Computer Information Technology,Computer Science     ,Electrical Engineering       ,Manufacturing and Supply Chain,Mechanical Engineering  ,Software Engineering",,"JD Ellen Manufacturing, Inc., manufactures a wide variety of products, using only the highest quality materials and top-of-the line technology. Located in Phoenix, Arizona, the business objective of JD Ellen Manufacturing, Inc. is to provide quality and on time delivery to customers.  JD Ellen Manufacturing, Inc. can only achieve these objectives by the involvement and contribution of each employee through a participatory work environment that affords personal growth and a reasonable return. We?re continuously transforming the way we operate to continuously improve our ability to be productive,202fwith a high quality product202fand202fbring all our customers visions to life.",Employer,,,,,O-8,,
Journeys DDA,Ammon,ID,www.journeysdda.com,Specific Majors,"Healthcare Administration     ,Public Health,Recreation Management,Recreation Management  - Therapeutic Recreation",,"Child Development     ,Early Childhood/Special Education     ,Marriage and Family Studies    ,Psychology - General Psychology,Psychology - Industrial/Organizational Psychology,Social Work     ,Sociology ,Special Education K-12",,,,,"Journeys provides services to special needs individuals across East Idaho through our Kids, Adults, and Vocational Programs.  We have hands-on internships, para-professional jobs, and also careers.  Come learn how you can make a difference in our community!",Employer,,,,,"E-11,E-12",,
JP Ventures LLC,Fruitland,ID,incubatorwarehouse.com,Specific Majors,,"Applied Management   ,Business Analytics       ,Business Management - Marketing,Business Management - Supply Chain Management,Communication - Video Production",,,,"AAS--Computer Programming,AAS--Electrical and Computer Engineering,Applied Software Engineering,Computer Engineering     ,Electrical Engineering       ,Manufacturing and Supply Chain,Mechanical Engineering  ,Web Design and Development - Design,Web Design and Development - Development",,"JP Ventures LLC operates the website IncubatorWarehouse.com and is an online leader in the egg incubation industry and we are moving into the hobby farm automation market. We are a small, family friendly company located in Fruitland, Idaho (right on the border of Idaho and Oregon). We are planning to significantly grow our company in the next few years and are seeking energetic, self-driven people who would  love to learn, develop and grow in a small entrepreneurial company.",Employer,,,,,H-8,,
Keller Williams Realty East Idaho,Idaho Falls,ID,http://kweastidaho.yourkwoffice.com/,All Majors,,,,,,,,"Keller Williams Realty East Idaho is the largest real estate company in South East Idaho with over 260 agents, and the 3rd largest in the state.  Forbes rated Keller Williams the #1 Happiest Company To Work For In 2018, ahead of Nike and Apple, among others.  Our Value System is what sets us apart from other companies by putting God first, family second, and then business.",Employer,,,,,B-5,,
Kimberly Nurseries Landscape and Irrigation,Twin Falls,ID,kimberlynurseries.com,All Majors,,,,,,,,"Founded in 1907 by Carl E. Wright, Kimberly Nurseries began as a tree farm on a 35-acre parcel in Kimberly, Idaho. With only 3 kinds of trees in demand at the time, Carl grew shade, windbreak, and fruit trees. Orders were taken, and the trees were planted in the fall, then early the following spring the trees were dug bare-root, wrapped in moist burlap and wood shavings, and delivered to the customers in a buckboard wagon. In 1923 Carl suddenly passed away leaving the business to his son, Loyd The tree farm continued to thrive and expand under Loyd?s care and in 1967 his son, Jack, added landscape installation to the business model. At the time the business moved a few miles away to its current location on Addison Avenue East in Twin Falls, Idaho. In the following years many members of the Wright family grew up working at the nursery as it expanded into a full retail nursery. In 2009 the retail nursery scaled back to what Kimberly Nurseries is today; a thriving landscaping and irrigation company. Fourth generation company president, Dave Wright, now operates the business with an average of 30 carefully selected landscape professionals. With a focus on enhancing outdoor living spaces, we offer creative landscape design and installation, engineered irrigation systems and custom maintenance programs for both residential and commercial properties.",Employer,,,,,O-10,,
KNIGHT TRANSPORTATION,PHOENIX,AZ,http://www.knighttrans.com/Careers/index.html,Specific Majors,,"Accounting,Business Management - Finance,Business Management - Marketing,Business Management - Supply Chain Management,Communication - Advertising",,,,,,"Knight is a vibrant, dynamic, and challenging work place with people that want to win. We want all of our employees to succeed; that?s why we give them the benefits of a large corporation, with the feel of a small town business.",Employer,,,,,C-12,,
LabStats,Idaho Falls,ID,https://labstats.com/,All Majors,,,,,,,,"LabStats has been an industry leading developer of computer lab monitoring software for nearly 15 years. LabStats is used by many of the world's leading educational institutions to better understand how their computer lab resources are being used. LabStats software provides an intuitive cloud-based solution for measuring software and hardware usage in computer labs.

Headquartered in Idaho Falls, LabStats is poised to grow at a remarkable rate in the next several years. LabStats wants to talk to students who are interested in international business, marketing, research and market development.",Employer,,,,,F-5,,
LandCare,Renton,WA,www.landcare.com,Specific Majors,"AAS--Floral Design,AAS--Plant Science and Technology,Agricultural Engineering Technology,Agricultural Technology,Agriculture Education,Agronomy, Crop and Soil Sciences,Horticulture,Plant and Wildlife Ecology","Agribusiness  - Agribusiness Management,Agricultural Economics    ,Business Management - Entrepreneurial Management,Business Management - Finance,Business Management - Marketing,Economics",,,,,,"LandCare is committed to creating and maintaining meaningful environments for customers nationwide.
Guided by our Core Values that we organically grown by our branch teams across the country.
-Delight our customers every time.
-Lead with confidence and integrity.
-Work hard, smart, and safe every day.
-Inspire others with meaningful environments.
-Have fun with a commitment to teamwork.
Find out about LandCare and what we are doing in the Service/horticultural field.",Employer,,,,,O-12,,
Lawn Butler,Centerville,UT,WWW.LawnButler.net,Specific Majors,"AAS--Floral Design,AAS--Plant Science and Technology,Agricultural Engineering Technology,Agricultural Technology,Agriculture Education,Agronomy, Crop and Soil Sciences,Animal Science,Horticulture,Plant and Wildlife Ecology","Accounting,Business Analytics       ,Business Management - Finance,Business Management - Marketing","Psychology - General Psychology,Psychology - Industrial/Organizational Psychology",,,"AAS--Computer Information Systems,AAS--Computer Programming,AAS--Data Science,AAS--Electrical and Computer Engineering,AAS--Engineering Technology,AAS--Welding Engineering Technology,Applied Software Engineering,Computer Information Technology,Computer Science     ,Construction Management     ,Data Science,Earth Science Education     ,Environmental Geoscience,Software Engineering    ,Web Design and Development - Design,Web Design and Development - Development,Welding and Fabrication Technology Management     ,Welding Engineering Technology","AAS - Family History     ,General Studies    ,Interdisciplinary Studies     ,University Studies","At Lawn Butler, when we say ?full service,? we mean it.  We acknowledge the challenge and embrace taking care of all commercial properties landscaping.  From weekly maintenance in lawn mowing to full size landscape installs at for schools or parks we specialize in being a front to back service both with your landscaping as well as snow removal in the winter.",Employer,,,,,"J-11,J-12",,
Leadership Academy of Nevada,Las Vegas,NV,www.lanv.org,Specific Majors,Biology Education,,"Elementary Education,Special Education K-12","English Education ,English Education Composite,History Education     ,Social Studies Education Composite","Art Education ,Music Education,Theatre and Speech Education","Chemistry Education     ,Earth Science Education     ,Mathematics Education     ,Physics Education",,Leadership Academy of Nevada is a free online public charter school serving grades 6-12. Our mission is to provide highly motivated and self-directed students with a classical education so that they can become principled leaders. We provide an inspiring education to students yearning to become leaders by delivering a classical Liberal Arts curriculum through cutting-edge technology.,Employer,,,,,H-11,,
Legacy Logistics - Legacy Transportation,North Salt Lake,UT,legacytrans.com,Specific Majors,,"Business Management - Entrepreneurial Management,Business Management - Supply Chain Management",,,,,,Legacy Logistics is a Utah based freight brokerage that drives customer service through technology and communication.,Employer,,,,,D-3,,
Life Care Centers of America- Northwest Division,Federal Way,WA,http://lcca.com/,All Majors,,,,,,,,"The Life Care Centers of America story began in 1970 when Garden Terrace Convalescent Center, now Life Care Center of Cleveland, was built in Cleveland, Tennessee. With a highly trained staff of caring associates and a beautiful building resembling a home environment more than a traditional nursing home, Life Care embarked on its more than 40-years of experience in care ? with a consistent focus on the resident as the highest priority.

No longer simply nursing homes, Life Care offers more services in order to meet the needs of residents and patients across the country. Through the years, Life Care added Alzheimer?s and dementia care, assisted and independent living facilities, inpatient and outpatient rehabilitation, and on-site physicians.

Life Care continues to look for innovative ways to enhance resident and patient care. The same passion for resident-centered care, that started in 1970, still fuels Life Care today.

Facility Photo

Today Life Care operates or manages more than 200 skilled nursing, rehabilitation, Alzheimer?s and senior living campuses in 28 states.",Employer,,,,,O-15,,
Life Chiropractic College West,Hayward,CA,lifewest.edu,Specific Majors,"Biology  ,Biology Education,Exercise Physiology      ,Health Science",,,,,,,"Life Chiropractic College West offers a doctor of chiropractic program through a leading-edge curriculum and clinical training experience providing graduate chiropractors with the knowledge, skills, philosophies, attitudes, and competencies to serve the health care needs of the public in the 21st century.

The program focuses on the relationship between the structure and function of the human body as coordinated by the nervous system, and the effect of the vertebral subluxation.",Graduate School,8640,3-3 1/2 years,Growing,na,,M-4,
Madison Creek Partners,Silt,CO,840 Grand Ave,Specific Majors,"Associate of Science in Nursing    ,Bachelor of Science in Nursing (ASN to BSN)    ,Health Science     ,Healthcare Administration     ,Physical Therapy Assistant","Accounting,Business Analytics       ,Business Management - Entrepreneurial Management,Business Management - Finance,Business Management - Marketing,Business Management - Supply Chain Management",Social Work,,,,,Madison Creek Partners owns and operates 15 nursing homes throughout California and Colorado. We are always searching for dedicated and talented individuals who are passionate about serving others and share our same values.,Employer,,,,,H-9,,
Madison Memorial Hospital,Rexburg,ID,www.madisonhospital.org,Specific Majors,"Associate of Science in Nursing    ,Bachelor of Science in Nursing (ASN to BSN)    ,Healthcare Administration","Accounting,Business Management - Supply Chain Management",,,,,,"Madison Memorial Hospital (MMH), affiliated with the University of Utah and the Huntsman Cancer Institute, is the only county-owned, non-critical access hospital in Idaho.  MMH is on the forefront of providing evidence-based holistic patient care and linking its community members to the most progressive physicians, treatment, and medical technology available.  Madison is also a self-sustainable non-profit hospital, requiring no tax payer dollars. Our 69 beds is a full-service facility providing general care, oncology, emergency services, as well as pre-natal and obstetric care. A vision of being a first class healthcare provider, our work and care is dictated by our values of Initiative, Integrity, Teamwork, Respect and Caring.",Employer,,,,,B-12,,
Managed Wealth Financial,Idaho Falls,ID,www.inclined.us,Specific Majors,,"Accounting,Business Management - Entrepreneurial Management,Business Management - Finance,Business Management - Marketing,Communication - Advertising,Communication - Public Relations,Financial Economics",,,,,,"Managed Wealth Financial is a firm that prides itself on finding training and developing Financial Advisors. We are a business building model looking for the entrepreneurial, business minded individuals who see the financial services industry for the incredible opportunity that lies ahead.",Employer,,,,,C-2,,
MassMutual Idaho,Meridian,ID,https://idaho.massmutual.com/,All Majors,,,,,,,,"MassMutual Idaho is a full-service wealth management firm that is run for the benefit of our members and participating policyowners. We offer a wide range of financial products, including life insurance, disability income insurance, long term care insurance, annuities, retirement plans, and employee benefits. MassMutual Idaho combines cutting edge technology and advanced training to our talented career distribution system.  We are also committed to our communities where we work and live through charitable organizations and civic events.  We have great success with new graduates and our and excellent training unleashes the best in our candidates. With offices statewide, we have the expertise and convenience to help our clients protect those that matter most and to provide financial solutions that help them plan for what?s ahead. Call now!",Employer,,,,,I-1,,
